epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3159,1.55887,11.2914,1.28329,9e-05,1,0.00017,5e-05,0.86122,19.1598,0.7136,0.000644444,0.000644444,0.000644444
2,124.614,1.73669,7.50824,1.38528,8e-05,1,0.00012,5e-05,0.66294,17.9457,0.56063,0.00128515,0.00128515,0.00128515
3,184.873,0.90025,9.49207,0.80794,0.00011,1,0.00018,4e-05,0.93563,20.9332,0.63695,0.00189946,0.00189946,0.00189946
4,245.263,1.59525,8.31137,1.30536,0.00011,1,0.00083,0.00029,0.53165,38.8897,0.52633,0.0018812,0.0018812,0.0018812
5,306.081,1.71726,6.72912,1.5265,6e-05,1,0.00175,0.00045,0.60117,12.5139,0.58833,0.0018416,0.0018416,0.0018416
6,365.988,1.56733,6.55999,1.43801,6e-05,1,0.0003,0.00015,0.56578,13.1319,0.59921,0.001802,0.001802,0.001802
7,427.183,1.20145,6.43122,1.14904,6e-05,1,0.00096,0.00054,0.49419,12.319,0.77871,0.0017624,0.0017624,0.0017624
8,486.856,1.12351,6.54012,1.048,8e-05,1,0.00023,0.00011,0.40505,9.87738,0.51775,0.0017228,0.0017228,0.0017228
9,545.546,1.14055,5.67427,1.05503,7e-05,1,0.00086,0.00018,0.67104,8.69166,0.57112,0.0016832,0.0016832,0.0016832
10,603.694,1.02836,4.83131,1.07624,9e-05,1,0.12437,0.08706,0.30231,7.76416,0.38991,0.0016436,0.0016436,0.0016436
11,666.069,1.00865,4.70681,1.14926,8e-05,1,0.05237,0.04713,0.25499,8.28682,0.40703,0.001604,0.001604,0.001604
12,726.296,1.08048,4.56501,1.15286,9e-05,1,0.00343,0.00097,0.30183,7.08028,0.42108,0.0015644,0.0015644,0.0015644
13,786.47,1.04648,4.48217,1.23117,9e-05,1,0.0398,0.02438,0.34287,6.96247,0.49912,0.0015248,0.0015248,0.0015248
14,845.519,1.10944,4.23936,1.18876,0.00011,1,0.995,0.597,0.27646,6.57359,0.40082,0.0014852,0.0014852,0.0014852
15,904.095,1.12655,4.06934,1.14614,0.00013,1,0.995,0.6965,0.27761,5.32205,0.47731,0.0014456,0.0014456,0.0014456
16,962.004,0.80715,3.8161,0.92018,0.00015,1,0.08292,0.05804,0.30575,5.17744,0.40933,0.001406,0.001406,0.001406
17,1020.78,0.96882,3.58887,1.1134,0.0002,1,0.995,0.796,0.25545,4.60009,0.34886,0.0013664,0.0013664,0.0013664
18,1078.72,0.75651,3.50156,0.91188,0.00017,1,0.995,0.54725,0.28192,4.29193,0.37351,0.0013268,0.0013268,0.0013268
19,1135.85,0.91538,3.38967,1.06674,0.00017,1,0.995,0.6965,0.29749,4.3128,0.3793,0.0012872,0.0012872,0.0012872
20,1193.18,0.8036,3.23104,0.94625,0.00024,1,0.995,0.6965,0.24581,3.84471,0.34367,0.0012476,0.0012476,0.0012476
21,1250.65,1.02613,3.49048,0.98556,0.00024,1,0.995,0.4975,0.30834,3.94786,0.39123,0.001208,0.001208,0.001208
22,1328.35,0.99371,3.25559,1.14815,0.00024,1,0.995,0.8955,0.21791,3.59355,0.35073,0.0011684,0.0011684,0.0011684
23,1392.61,0.82279,2.99445,1.02686,0.00024,1,0.995,0.796,0.18744,3.32589,0.33336,0.0011288,0.0011288,0.0011288
24,1454.27,0.90588,2.91608,1.11679,0.00024,1,0.995,0.6965,0.26196,3.05277,0.38311,0.0010892,0.0010892,0.0010892
25,1515.13,0.67374,2.89229,0.83505,0.60126,1,0.995,0.796,0.28308,3.70692,0.38279,0.0010496,0.0010496,0.0010496
26,1576.03,0.68963,2.59265,0.82407,0.62605,1,0.995,0.796,0.23832,3.32018,0.34225,0.00101,0.00101,0.00101
27,1635.11,1.06548,2.5648,1.16369,0.79895,1,0.995,0.796,0.24559,2.65586,0.35481,0.0009704,0.0009704,0.0009704
28,1694.84,0.75767,2.25948,0.9244,0.81224,1,0.995,0.796,0.21389,2.59391,0.33634,0.0009308,0.0009308,0.0009308
29,1756.04,0.59039,2.43951,0.75518,0.00025,1,0.995,0.8955,0.21787,2.95673,0.35545,0.0008912,0.0008912,0.0008912
30,1815.91,0.59376,2.67095,0.78732,0.00024,1,0.995,0.796,0.23291,3.17463,0.35215,0.0008516,0.0008516,0.0008516
31,1875.69,0.96134,2.52531,1.09102,0.71741,1,0.995,0.8955,0.20085,2.87928,0.32372,0.000812,0.000812,0.000812
32,1936.21,0.60688,2.2263,0.77897,0.84429,1,0.995,0.8955,0.15941,2.77987,0.29254,0.0007724,0.0007724,0.0007724
33,1995.91,0.75948,1.96861,1.03231,0.72952,1,0.995,0.8955,0.1616,2.53888,0.29922,0.0007328,0.0007328,0.0007328
34,2055.23,0.56443,1.80887,0.85458,0.83101,1,0.995,0.796,0.17364,2.19438,0.31991,0.0006932,0.0006932,0.0006932
