epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0985,2.45832,3.11846,2.01337,0.17304,0.08824,0.07935,0.03422,2.32914,3.18902,2.0615,0.000661017,0.000661017,0.000661017
2,169.611,2.37628,2.60941,1.94254,0.08228,0.27941,0.05281,0.0169,2.52758,5.24183,2.31859,0.00129482,0.00129482,0.00129482
3,253.851,2.35108,2.51308,1.94463,0.09252,0.14706,0.03428,0.00959,3.02364,3.13028,2.60092,0.00189563,0.00189563,0.00189563
4,338.314,2.34541,2.52516,1.92389,0.15309,0.14622,0.07185,0.02522,2.72428,2.84081,2.4017,0.0018515,0.0018515,0.0018515
5,440.437,2.31029,2.43774,1.90182,0.14151,0.20588,0.10267,0.03279,2.66878,3.27578,2.30657,0.001802,0.001802,0.001802
6,525.799,2.2418,2.42782,1.89796,0.14693,0.16176,0.07963,0.02326,2.62436,2.91572,2.50176,0.0017525,0.0017525,0.0017525
7,609.944,2.23858,2.39841,1.89011,0.26394,0.19118,0.14687,0.03884,2.61372,2.7618,2.21855,0.001703,0.001703,0.001703
8,695.267,2.15716,2.34637,1.83466,0.21002,0.17647,0.09706,0.02884,2.64152,3.01566,2.22909,0.0016535,0.0016535,0.0016535
9,780.157,2.1752,2.33598,1.83117,0.2692,0.17647,0.11845,0.03489,2.41139,2.82017,2.16081,0.001604,0.001604,0.001604
10,864.374,2.1312,2.25853,1.80288,0.21397,0.23529,0.17604,0.05148,2.59891,2.72447,2.32403,0.0015545,0.0015545,0.0015545
11,948.388,2.06912,2.21661,1.75143,0.32376,0.19118,0.14079,0.05279,2.41276,2.67665,2.09232,0.001505,0.001505,0.001505
12,1034.85,2.06009,2.22054,1.74747,0.2644,0.20588,0.16332,0.05342,2.38844,2.5378,2.00365,0.0014555,0.0014555,0.0014555
13,1118.65,2.04579,2.18421,1.72732,0.35884,0.22059,0.21287,0.06451,2.49279,2.5419,2.11313,0.001406,0.001406,0.001406
14,1202.77,2.03912,2.16352,1.7363,0.29261,0.25,0.18883,0.06226,2.34154,2.48062,2.03701,0.0013565,0.0013565,0.0013565
15,1287.8,2.00294,2.12801,1.73212,0.22042,0.29412,0.15878,0.0439,2.54351,2.67457,2.16405,0.001307,0.001307,0.001307
16,1370.29,1.97492,2.07195,1.7112,0.28668,0.30882,0.17909,0.05068,2.33008,2.69265,2.01429,0.0012575,0.0012575,0.0012575
17,1453.15,1.95788,2.0927,1.68786,0.18537,0.27941,0.12066,0.03496,2.46878,2.7241,2.05068,0.001208,0.001208,0.001208
18,1535.55,2.01057,2.09081,1.70546,0.21739,0.26471,0.18269,0.05224,2.46419,2.62608,2.10238,0.0011585,0.0011585,0.0011585
19,1617.25,1.98387,2.06094,1.68752,0.3707,0.26471,0.22005,0.07327,2.26343,2.5741,2.02673,0.001109,0.001109,0.001109
20,1700.75,1.91955,2.02364,1.66763,0.23486,0.20767,0.17641,0.07416,2.29354,2.5728,2.00438,0.0010595,0.0010595,0.0010595
21,1795.48,1.9435,2.03237,1.67268,0.42847,0.28673,0.24773,0.07573,2.38368,2.57982,2.02485,0.00101,0.00101,0.00101
22,1881.98,1.9263,1.98795,1.65502,0.36094,0.27941,0.23556,0.08131,2.25826,2.39977,2.00243,0.0009605,0.0009605,0.0009605
23,1967.52,1.90564,2.00171,1.65045,0.50536,0.25,0.24052,0.08662,2.32337,2.50178,2.0524,0.000911,0.000911,0.000911
24,2053.85,1.89509,1.97162,1.65157,0.43679,0.27941,0.26065,0.08137,2.32843,2.48126,2.05212,0.0008615,0.0008615,0.0008615
25,2138.93,1.83165,1.91592,1.60933,0.28275,0.30882,0.22049,0.07429,2.27231,2.41649,1.97121,0.000812,0.000812,0.000812
26,2224.43,1.83825,1.89201,1.61076,0.41007,0.30882,0.27222,0.09117,2.31256,2.32268,1.97092,0.0007625,0.0007625,0.0007625
27,2310.83,1.85926,1.85729,1.5876,0.39022,0.26353,0.2341,0.08895,2.26284,2.50944,1.92955,0.000713,0.000713,0.000713
28,2396.99,1.81171,1.8573,1.57639,0.43948,0.23529,0.23359,0.08561,2.36958,2.47683,1.99881,0.0006635,0.0006635,0.0006635
